"LeaveEventID","EmployeeID","LeaveType","LeaveStartDate","LeaveEndDate","LeaveDays","PaidFlag"
"LV101477_1",101477,"Sick Leave",2023-04-15,2023-04-19,5,"Yes"
"LV101477_2",101477,"Vacation",2023-11-05,2023-11-10,6,"Yes"
"LV106280_1",106280,"Vacation",2022-09-04,2022-09-06,3,"Yes"
"LV105368_1",105368,"Vacation",2024-05-15,2024-05-23,9,"Yes"
"LV101080_1",101080,"Vacation",2025-06-04,2025-06-13,10,"Yes"
"LV101180_1",101180,"Vacation",2023-12-01,2023-12-02,2,"Yes"
"LV101846_1",101846,"Sick Leave",2025-07-10,2025-07-14,5,"Yes"
"LV103808_1",103808,"Sick Leave",2024-03-04,2024-03-06,3,"Yes"
"LV106218_1",106218,"Medical Leave",2023-11-21,2023-12-21,31,"No"
"LV104444_1",104444,"Sick Leave",2024-12-11,2024-12-13,3,"Yes"
"LV103740_1",103740,"Sick Leave",2025-08-13,2025-08-13,1,"Yes"
"LV103203_1",103203,"Vacation",2025-04-14,2025-04-16,3,"Yes"
"LV100915_1",100915,"Sick Leave",2025-04-08,2025-04-09,2,"Yes"
"LV109902_1",109902,"Vacation",2026-01-13,2026-01-22,10,"Yes"
"LV101086_1",101086,"Parental Leave",2026-01-13,2026-02-12,31,"Yes"
"LV106275_1",106275,"Vacation",2020-05-14,2020-05-23,10,"Yes"
"LV107146_1",107146,"Vacation",2021-02-03,2021-02-05,3,"Yes"
"LV109519_1",109519,"Vacation",2014-09-10,2014-09-13,4,"Yes"
"LV107899_1",107899,"Medical Leave",2016-11-05,2016-11-13,9,"No"
"LV103129_1",103129,"Sick Leave",2020-02-14,2020-02-18,5,"Yes"
"LV104836_1",104836,"Sick Leave",2017-02-02,2017-02-04,3,"Yes"
"LV104836_2",104836,"Vacation",2020-12-02,2020-12-03,2,"Yes"
"LV108812_1",108812,"Bereavement",2021-06-04,2021-06-07,4,"Yes"
"LV102952_1",102952,"Sick Leave",2018-11-11,2018-11-11,1,"Yes"
"LV100162_1",100162,"Vacation",2025-12-12,2025-12-19,8,"Yes"
"LV109894_1",109894,"Parental Leave",2019-03-22,2019-05-07,47,"No"
"LV108634_1",108634,"Medical Leave",2018-07-22,2018-08-21,31,"Yes"
"LV105655_1",105655,"Vacation",2017-01-01,2017-01-08,8,"Yes"
"LV105838_1",105838,"Vacation",2023-04-12,2023-04-18,7,"Yes"
"LV109620_1",109620,"Vacation",2023-10-05,2023-10-11,7,"Yes"
"LV102442_1",102442,"Sick Leave",2018-05-17,2018-05-19,3,"Yes"
"LV100459_1",100459,"Medical Leave",2023-09-15,2023-10-22,38,"Yes"
"LV107178_1",107178,"Sick Leave",2018-07-17,2018-07-21,5,"Yes"
"LV102054_1",102054,"Vacation",2023-05-03,2023-05-08,6,"Yes"
"LV101719_1",101719,"Medical Leave",2026-01-22,2026-03-01,39,"No"
"LV105694_1",105694,"Parental Leave",2025-08-03,2025-09-06,35,"Yes"
"LV104554_1",104554,"Jury Duty",2024-08-28,2024-09-01,5,"Yes"
"LV104554_2",104554,"Sick Leave",2024-12-04,2024-12-07,4,"Yes"
"LV108867_1",108867,"Bereavement",2022-04-05,2022-04-06,2,"Yes"
"LV100146_1",100146,"Sick Leave",2021-03-10,2021-03-10,1,"Yes"
"LV105310_1",105310,"Jury Duty",2026-01-31,2026-02-03,4,"Yes"
"LV108161_1",108161,"Jury Duty",2022-11-05,2022-11-06,2,"Yes"
"LV107669_1",107669,"Vacation",2023-10-11,2023-10-12,2,"Yes"
"LV108864_1",108864,"Sick Leave",2023-02-06,2023-02-06,1,"Yes"
"LV109073_1",109073,"Medical Leave",2025-03-01,2025-03-13,13,"Yes"
"LV106249_1",106249,"Parental Leave",2023-07-02,2023-08-14,44,"Yes"
"LV106194_1",106194,"Jury Duty",2023-11-10,2023-11-15,6,"Yes"
"LV103801_1",103801,"Sick Leave",2025-11-10,2025-11-13,4,"Yes"
"LV101107_1",101107,"Sick Leave",2025-11-18,2025-11-21,4,"Yes"
"LV107678_1",107678,"Vacation",2024-11-08,2024-11-09,2,"Yes"
"LV109462_1",109462,"Sick Leave",2025-08-03,2025-08-07,5,"Yes"
"LV107525_1",107525,"Parental Leave",2025-09-29,2025-10-22,24,"Yes"
"LV105696_1",105696,"Medical Leave",2025-12-05,2025-12-16,12,"Yes"
"LV109270_1",109270,"Vacation",2023-04-18,2023-04-26,9,"Yes"
"LV109233_1",109233,"Vacation",2020-10-15,2020-10-20,6,"Yes"
"LV109592_1",109592,"Vacation",2018-04-29,2018-05-01,3,"Yes"
"LV109196_1",109196,"Sick Leave",2023-02-11,2023-02-12,2,"Yes"
"LV107852_1",107852,"Sick Leave",2020-02-29,2020-03-03,4,"Yes"
"LV102971_1",102971,"Vacation",2021-09-16,2021-09-20,5,"Yes"
"LV101984_1",101984,"Vacation",2018-07-18,2018-07-21,4,"Yes"
"LV101365_1",101365,"Parental Leave",2022-05-16,2022-06-10,26,"No"
"LV109952_1",109952,"Sick Leave",2025-02-02,2025-02-03,2,"Yes"
"LV107294_1",107294,"Vacation",2020-05-12,2020-05-21,10,"Yes"
"LV107294_2",107294,"Bereavement",2025-07-27,2025-07-29,3,"Yes"
"LV101494_1",101494,"Sick Leave",2024-03-25,2024-03-29,5,"Yes"
"LV103614_1",103614,"Sick Leave",2025-02-23,2025-02-26,4,"Yes"
"LV109492_1",109492,"Sick Leave",2020-10-12,2020-10-14,3,"Yes"
"LV109492_2",109492,"Vacation",2025-06-02,2025-06-08,7,"Yes"
"LV109155_1",109155,"Sick Leave",2020-10-04,2020-10-06,3,"Yes"
"LV103377_1",103377,"Parental Leave",2020-10-04,2020-11-14,42,"Yes"
"LV107102_1",107102,"Medical Leave",2026-01-17,2026-02-02,17,"No"
"LV102317_1",102317,"Medical Leave",2021-08-19,2021-08-30,12,"Yes"
"LV105018_1",105018,"Medical Leave",2025-09-12,2025-10-08,27,"Yes"
"LV109765_1",109765,"Vacation",2023-06-24,2023-06-25,2,"Yes"
"LV109765_2",109765,"Vacation",2025-11-12,2025-11-15,4,"Yes"
"LV103508_1",103508,"Vacation",2021-10-07,2021-10-10,4,"Yes"
"LV104340_1",104340,"Sick Leave",2024-08-17,2024-08-19,3,"Yes"
"LV102431_1",102431,"Parental Leave",2023-04-20,2023-06-05,47,"Yes"
"LV106654_1",106654,"Sick Leave",2024-01-25,2024-01-26,2,"Yes"
"LV106654_2",106654,"Vacation",2024-02-15,2024-02-20,6,"Yes"
"LV107252_1",107252,"Sick Leave",2024-10-23,2024-10-23,1,"Yes"
"LV109670_1",109670,"Vacation",2025-04-13,2025-04-20,8,"Yes"
"LV105935_1",105935,"Vacation",2024-12-10,2024-12-17,8,"Yes"
"LV100842_1",100842,"Sick Leave",2025-09-07,2025-09-07,1,"Yes"
"LV103111_1",103111,"Medical Leave",2024-12-20,2025-01-09,21,"No"
"LV100053_1",100053,"Vacation",2025-06-15,2025-06-24,10,"Yes"
"LV100615_1",100615,"Vacation",2024-09-13,2024-09-20,8,"Yes"
"LV107100_1",107100,"Jury Duty",2025-10-02,2025-10-02,1,"Yes"
"LV108069_1",108069,"Sick Leave",2013-03-28,2013-03-29,2,"Yes"
"LV108069_2",108069,"Vacation",2023-02-23,2023-02-27,5,"Yes"
"LV101282_1",101282,"Vacation",2016-08-07,2016-08-08,2,"Yes"
"LV104659_1",104659,"Vacation",2023-09-24,2023-09-27,4,"Yes"
"LV100413_1",100413,"Parental Leave",2023-01-05,2023-02-08,35,"Yes"
"LV106421_1",106421,"Medical Leave",2019-11-10,2019-11-21,12,"Yes"
"LV106421_2",106421,"Vacation",2023-11-21,2023-11-28,8,"Yes"
"LV104189_1",104189,"Jury Duty",2017-11-01,2017-11-06,6,"Yes"
"LV107028_1",107028,"Sick Leave",2024-07-24,2024-07-28,5,"Yes"
"LV104593_1",104593,"Parental Leave",2023-05-30,2023-07-10,42,"Yes"
"LV101161_1",101161,"Parental Leave",2020-07-15,2020-08-26,43,"Yes"
"LV100071_1",100071,"Vacation",2020-05-25,2020-06-01,8,"Yes"
"LV100071_2",100071,"Medical Leave",2025-04-27,2025-05-20,24,"Yes"
"LV105040_1",105040,"Parental Leave",2020-10-21,2020-11-16,27,"Yes"
"LV109845_1",109845,"Vacation",2021-03-11,2021-03-17,7,"Yes"
"LV109845_2",109845,"Medical Leave",2021-10-07,2021-11-05,30,"Yes"
"LV101424_1",101424,"Sick Leave",2022-01-26,2022-01-29,4,"Yes"
"LV102281_1",102281,"Vacation",2020-12-08,2020-12-15,8,"Yes"
"LV102281_2",102281,"Vacation",2025-10-19,2025-10-25,7,"Yes"
"LV103014_1",103014,"Medical Leave",2020-11-13,2020-12-04,22,"Yes"
"LV103699_1",103699,"Jury Duty",2022-12-18,2022-12-23,6,"Yes"
"LV103321_1",103321,"Vacation",2023-11-10,2023-11-13,4,"Yes"
"LV101680_1",101680,"Sick Leave",2024-02-06,2024-02-10,5,"Yes"
"LV101680_2",101680,"Jury Duty",2024-12-19,2024-12-26,8,"Yes"
"LV108662_1",108662,"Jury Duty",2025-10-30,2025-11-01,3,"Yes"
"LV104687_1",104687,"Vacation",2025-09-23,2025-10-01,9,"Yes"
"LV102908_1",102908,"Sick Leave",2016-04-03,2016-04-05,3,"Yes"
"LV102908_2",102908,"Medical Leave",2021-07-27,2021-09-03,39,"Yes"
"LV107114_1",107114,"Vacation",2021-07-04,2021-07-05,2,"Yes"
"LV106806_1",106806,"Vacation",2022-05-21,2022-05-23,3,"Yes"
"LV108894_1",108894,"Sick Leave",2023-03-01,2023-03-05,5,"Yes"
"LV106040_1",106040,"Parental Leave",2023-12-01,2023-12-23,23,"Yes"
"LV106040_2",106040,"Vacation",2024-09-03,2024-09-08,6,"Yes"
"LV102447_1",102447,"Vacation",2019-02-25,2019-02-28,4,"Yes"
"LV106800_1",106800,"Vacation",2024-04-30,2024-05-08,9,"Yes"
"LV106800_2",106800,"Vacation",2024-05-04,2024-05-09,6,"Yes"
"LV100543_1",100543,"Medical Leave",2024-06-29,2024-07-20,22,"No"
"LV101819_1",101819,"Bereavement",2019-12-06,2019-12-07,2,"Yes"
"LV109569_1",109569,"Vacation",2020-09-21,2020-09-26,6,"Yes"
"LV101607_1",101607,"Vacation",2023-10-24,2023-10-28,5,"Yes"
"LV106921_1",106921,"Vacation",2023-08-22,2023-08-23,2,"Yes"
"LV105969_1",105969,"Jury Duty",2024-05-24,2024-05-31,8,"Yes"
"LV105969_2",105969,"Medical Leave",2025-09-21,2025-10-24,34,"Yes"
"LV101301_1",101301,"Vacation",2023-11-17,2023-11-20,4,"Yes"
"LV100097_1",100097,"Sick Leave",2019-10-31,2019-11-03,4,"Yes"
"LV107518_1",107518,"Medical Leave",2025-08-08,2025-08-27,20,"No"
"LV109981_1",109981,"Sick Leave",2021-12-07,2021-12-09,3,"Yes"
"LV103930_1",103930,"Sick Leave",2025-07-23,2025-07-27,5,"Yes"
"LV104351_1",104351,"Vacation",2022-06-22,2022-06-30,9,"Yes"
"LV106600_1",106600,"Vacation",2023-12-19,2023-12-23,5,"Yes"
"LV106600_2",106600,"Vacation",2025-01-22,2025-01-25,4,"Yes"
"LV103925_1",103925,"Vacation",2024-07-26,2024-07-27,2,"Yes"
"LV102357_1",102357,"Parental Leave",2024-03-20,2024-05-07,49,"No"
"LV106357_1",106357,"Vacation",2024-11-17,2024-11-18,2,"Yes"
"LV103045_1",103045,"Sick Leave",2025-12-10,2025-12-10,1,"Yes"
"LV100853_1",100853,"Vacation",2025-05-25,2025-05-28,4,"Yes"
"LV100757_1",100757,"Sick Leave",2025-11-23,2025-11-27,5,"Yes"
"LV100757_2",100757,"Vacation",2025-12-22,2025-12-31,10,"Yes"
"LV107824_1",107824,"Sick Leave",2023-04-24,2023-04-26,3,"Yes"
"LV105640_1",105640,"Vacation",2024-01-15,2024-01-19,5,"Yes"
"LV104591_1",104591,"Vacation",2014-11-24,2014-12-01,8,"Yes"
"LV104591_2",104591,"Sick Leave",2025-09-07,2025-09-08,2,"Yes"
"LV109682_1",109682,"Sick Leave",2023-08-31,2023-09-04,5,"Yes"
"LV101836_1",101836,"Vacation",2023-12-28,2024-01-01,5,"Yes"
"LV101066_1",101066,"Bereavement",2018-03-23,2018-03-26,4,"Yes"
"LV102886_1",102886,"Sick Leave",2020-03-10,2020-03-11,2,"Yes"
"LV107025_1",107025,"Sick Leave",2022-02-19,2022-02-21,3,"Yes"
"LV102120_1",102120,"Sick Leave",2020-09-28,2020-09-29,2,"Yes"
"LV104577_1",104577,"Jury Duty",2023-07-03,2023-07-05,3,"Yes"
"LV104481_1",104481,"Medical Leave",2019-01-29,2019-03-08,39,"Yes"
"LV108300_1",108300,"Medical Leave",2025-05-06,2025-05-10,5,"No"
"LV105051_1",105051,"Medical Leave",2018-09-04,2018-09-15,12,"No"
"LV105347_1",105347,"Parental Leave",2022-12-08,2023-01-16,40,"No"
"LV102148_1",102148,"Medical Leave",2022-03-01,2022-03-18,18,"No"
"LV108244_1",108244,"Vacation",2025-07-21,2025-07-24,4,"Yes"
"LV103581_1",103581,"Sick Leave",2025-11-26,2025-11-26,1,"Yes"
"LV107585_1",107585,"Vacation",2025-04-11,2025-04-19,9,"Yes"
"LV106501_1",106501,"Vacation",2024-05-27,2024-06-01,6,"Yes"
"LV100693_1",100693,"Vacation",2024-03-20,2024-03-28,9,"Yes"
"LV105702_1",105702,"Vacation",2023-01-30,2023-02-07,9,"Yes"
"LV102229_1",102229,"Vacation",2022-07-28,2022-07-31,4,"Yes"
"LV102514_1",102514,"Sick Leave",2023-11-14,2023-11-18,5,"Yes"
"LV109106_1",109106,"Sick Leave",2021-05-14,2021-05-16,3,"Yes"
"LV109106_2",109106,"Sick Leave",2025-12-29,2025-12-29,1,"Yes"
"LV106755_1",106755,"Vacation",2024-05-12,2024-05-17,6,"Yes"
"LV103908_1",103908,"Vacation",2022-04-03,2022-04-05,3,"Yes"
"LV101728_1",101728,"Jury Duty",2023-06-03,2023-06-09,7,"Yes"
"LV107367_1",107367,"Parental Leave",2025-01-16,2025-02-27,43,"Yes"
"LV107352_1",107352,"Vacation",2022-11-24,2022-12-01,8,"Yes"
"LV109829_1",109829,"Bereavement",2023-12-27,2023-12-30,4,"Yes"
"LV109649_1",109649,"Sick Leave",2025-08-15,2025-08-15,1,"Yes"
"LV104472_1",104472,"Sick Leave",2025-09-08,2025-09-10,3,"Yes"
"LV104472_2",104472,"Vacation",2025-12-24,2025-12-31,8,"Yes"
"LV100124_1",100124,"Vacation",2025-02-06,2025-02-12,7,"Yes"
"LV102626_1",102626,"Jury Duty",2025-01-30,2025-02-01,3,"Yes"
"LV100766_1",100766,"Medical Leave",2025-07-26,2025-08-08,14,"Yes"
"LV106036_1",106036,"Vacation",2026-01-31,2026-02-01,2,"Yes"
"LV106080_1",106080,"Vacation",2026-01-25,2026-01-26,2,"Yes"
"LV102066_1",102066,"Vacation",2019-11-05,2019-11-10,6,"Yes"
"LV106088_1",106088,"Vacation",2023-07-16,2023-07-21,6,"Yes"
"LV103966_1",103966,"Parental Leave",2025-01-18,2025-03-09,51,"No"
"LV102709_1",102709,"Vacation",2017-11-15,2017-11-17,3,"Yes"
"LV105209_1",105209,"Vacation",2024-11-28,2024-11-30,3,"Yes"
"LV102048_1",102048,"Medical Leave",2020-04-04,2020-04-11,8,"Yes"
"LV107104_1",107104,"Sick Leave",2018-06-09,2018-06-13,5,"Yes"
"LV107104_2",107104,"Vacation",2022-05-30,2022-06-01,3,"Yes"
"LV102162_1",102162,"Bereavement",2023-09-30,2023-10-04,5,"Yes"
"LV102162_2",102162,"Sick Leave",2025-10-08,2025-10-11,4,"Yes"
"LV103268_1",103268,"Sick Leave",2019-02-25,2019-02-27,3,"Yes"
"LV109696_1",109696,"Vacation",2024-05-10,2024-05-14,5,"Yes"
"LV105842_1",105842,"Sick Leave",2022-11-29,2022-12-01,3,"Yes"
"LV106897_1",106897,"Sick Leave",2016-01-20,2016-01-22,3,"Yes"
"LV106897_2",106897,"Medical Leave",2016-10-14,2016-11-21,39,"No"
"LV102141_1",102141,"Medical Leave",2018-01-01,2018-01-21,21,"Yes"
"LV106513_1",106513,"Medical Leave",2022-10-04,2022-10-18,15,"No"
"LV106099_1",106099,"Medical Leave",2016-09-02,2016-09-26,25,"No"
"LV109673_1",109673,"Vacation",2019-05-12,2019-05-21,10,"Yes"
"LV101122_1",101122,"Bereavement",2015-10-17,2015-10-21,5,"Yes"
"LV101122_2",101122,"Vacation",2020-07-22,2020-07-31,10,"Yes"
"LV108495_1",108495,"Sick Leave",2016-08-18,2016-08-22,5,"Yes"
"LV108128_1",108128,"Sick Leave",2018-07-06,2018-07-09,4,"Yes"
"LV108128_2",108128,"Sick Leave",2019-07-03,2019-07-06,4,"Yes"
"LV103221_1",103221,"Vacation",2020-12-07,2020-12-10,4,"Yes"
"LV103221_2",103221,"Sick Leave",2020-12-30,2021-01-01,3,"Yes"
"LV101710_1",101710,"Vacation",2021-10-15,2021-10-18,4,"Yes"
"LV101402_1",101402,"Sick Leave",2015-11-21,2015-11-21,1,"Yes"
"LV100680_1",100680,"Bereavement",2023-07-13,2023-07-14,2,"Yes"
"LV103173_1",103173,"Medical Leave",2022-05-17,2022-06-03,18,"No"
"LV104732_1",104732,"Jury Duty",2015-08-14,2015-08-14,1,"Yes"
"LV106573_1",106573,"Sick Leave",2018-10-04,2018-10-08,5,"Yes"
"LV103898_1",103898,"Jury Duty",2021-06-07,2021-06-08,2,"Yes"
"LV102221_1",102221,"Sick Leave",2022-09-20,2022-09-20,1,"Yes"
"LV102135_1",102135,"Vacation",2016-08-02,2016-08-05,4,"Yes"
"LV102135_2",102135,"Vacation",2019-03-13,2019-03-18,6,"Yes"
"LV103054_1",103054,"Medical Leave",2020-08-09,2020-09-08,31,"No"
"LV104462_1",104462,"Vacation",2019-08-22,2019-08-30,9,"Yes"
"LV104698_1",104698,"Sick Leave",2020-10-22,2020-10-26,5,"Yes"
"LV108410_1",108410,"Vacation",2024-11-17,2024-11-23,7,"Yes"
"LV108113_1",108113,"Sick Leave",2020-07-11,2020-07-15,5,"Yes"
"LV104041_1",104041,"Vacation",2024-01-07,2024-01-11,5,"Yes"
"LV100712_1",100712,"Vacation",2019-07-22,2019-07-27,6,"Yes"
"LV105561_1",105561,"Vacation",2022-02-19,2022-02-21,3,"Yes"
"LV105084_1",105084,"Parental Leave",2017-10-18,2017-11-17,31,"No"
"LV105254_1",105254,"Vacation",2023-12-21,2023-12-29,9,"Yes"
"LV109228_1",109228,"Parental Leave",2024-05-24,2024-07-05,43,"Yes"
"LV108818_1",108818,"Bereavement",2018-10-07,2018-10-10,4,"Yes"
"LV106232_1",106232,"Bereavement",2025-06-01,2025-06-02,2,"Yes"
"LV105576_1",105576,"Vacation",2023-05-17,2023-05-26,10,"Yes"
"LV103289_1",103289,"Bereavement",2022-03-01,2022-03-03,3,"Yes"
"LV102039_1",102039,"Sick Leave",2017-12-08,2017-12-12,5,"Yes"
"LV101863_1",101863,"Medical Leave",2021-05-30,2021-06-22,24,"Yes"
"LV104888_1",104888,"Sick Leave",2020-10-23,2020-10-27,5,"Yes"
"LV100509_1",100509,"Sick Leave",2019-10-06,2019-10-08,3,"Yes"
"LV108825_1",108825,"Sick Leave",2025-08-05,2025-08-09,5,"Yes"
"LV104844_1",104844,"Vacation",2021-08-13,2021-08-14,2,"Yes"
"LV100307_1",100307,"Sick Leave",2025-08-30,2025-08-30,1,"Yes"
"LV109546_1",109546,"Sick Leave",2019-09-30,2019-10-04,5,"Yes"
"LV109546_2",109546,"Vacation",2025-07-05,2025-07-12,8,"Yes"
"LV109582_1",109582,"Medical Leave",2019-11-01,2019-11-16,16,"No"
"LV103019_1",103019,"Medical Leave",2023-05-30,2023-07-03,35,"No"
"LV104943_1",104943,"Sick Leave",2019-03-15,2019-03-16,2,"Yes"
"LV105939_1",105939,"Medical Leave",2023-11-18,2023-12-24,37,"No"
"LV105939_2",105939,"Vacation",2024-07-21,2024-07-27,7,"Yes"
"LV104599_1",104599,"Sick Leave",2021-10-19,2021-10-23,5,"Yes"
"LV102528_1",102528,"Parental Leave",2025-11-13,2025-12-04,22,"Yes"
"LV102620_1",102620,"Vacation",2021-10-17,2021-10-24,8,"Yes"
"LV106524_1",106524,"Sick Leave",2024-11-21,2024-11-21,1,"Yes"
"LV102733_1",102733,"Vacation",2022-09-15,2022-09-23,9,"Yes"
"LV103554_1",103554,"Medical Leave",2025-10-20,2025-11-15,27,"No"
"LV107372_1",107372,"Vacation",2021-04-06,2021-04-12,7,"Yes"
"LV103117_1",103117,"Sick Leave",2021-12-02,2021-12-02,1,"Yes"
"LV109883_1",109883,"Vacation",2023-11-18,2023-11-26,9,"Yes"
"LV109263_1",109263,"Sick Leave",2023-02-28,2023-03-04,5,"Yes"
"LV107244_1",107244,"Vacation",2024-07-21,2024-07-22,2,"Yes"
"LV106933_1",106933,"Vacation",2025-10-28,2025-11-05,9,"Yes"
"LV109909_1",109909,"Vacation",2022-08-16,2022-08-19,4,"Yes"
"LV105859_1",105859,"Medical Leave",2025-10-21,2025-11-12,23,"No"
"LV102060_1",102060,"Sick Leave",2023-09-11,2023-09-14,4,"Yes"
"LV103367_1",103367,"Bereavement",2020-11-19,2020-11-21,3,"Yes"
"LV104217_1",104217,"Parental Leave",2022-03-21,2022-05-14,55,"No"
"LV108924_1",108924,"Vacation",2024-02-27,2024-03-04,7,"Yes"
"LV109067_1",109067,"Vacation",2022-04-09,2022-04-10,2,"Yes"
"LV109067_2",109067,"Sick Leave",2023-07-20,2023-07-20,1,"Yes"
"LV102592_1",102592,"Vacation",2023-01-04,2023-01-09,6,"Yes"
"LV103234_1",103234,"Sick Leave",2024-02-04,2024-02-06,3,"Yes"
"LV103251_1",103251,"Bereavement",2025-08-31,2025-09-04,5,"Yes"
"LV102203_1",102203,"Sick Leave",2022-05-10,2022-05-10,1,"Yes"
"LV101874_1",101874,"Bereavement",2025-05-05,2025-05-07,3,"Yes"
"LV106560_1",106560,"Sick Leave",2023-01-22,2023-01-26,5,"Yes"
"LV100750_1",100750,"Medical Leave",2025-08-01,2025-08-19,19,"No"
"LV109944_1",109944,"Vacation",2022-11-01,2022-11-05,5,"Yes"
"LV101598_1",101598,"Vacation",2023-05-20,2023-05-24,5,"Yes"
"LV101598_2",101598,"Medical Leave",2024-03-23,2024-04-24,33,"No"
"LV103695_1",103695,"Vacation",2023-01-10,2023-01-13,4,"Yes"
"LV103695_2",103695,"Parental Leave",2025-12-26,2026-02-09,46,"No"
"LV105126_1",105126,"Vacation",2023-02-23,2023-03-01,7,"Yes"
"LV105126_2",105126,"Vacation",2025-03-28,2025-04-03,7,"Yes"
"LV108017_1",108017,"Vacation",2023-04-17,2023-04-26,10,"Yes"
"LV101156_1",101156,"Vacation",2025-12-15,2025-12-24,10,"Yes"
"LV104108_1",104108,"Vacation",2025-11-30,2025-12-06,7,"Yes"
"LV104837_1",104837,"Parental Leave",2024-07-08,2024-07-31,24,"Yes"
"LV104837_2",104837,"Jury Duty",2025-11-14,2025-11-17,4,"Yes"
"LV101341_1",101341,"Vacation",2023-07-26,2023-07-31,6,"Yes"
"LV109127_1",109127,"Vacation",2023-09-12,2023-09-18,7,"Yes"
"LV105059_1",105059,"Medical Leave",2024-05-30,2024-06-19,21,"Yes"
"LV100513_1",100513,"Vacation",2024-05-17,2024-05-24,8,"Yes"
"LV100513_2",100513,"Parental Leave",2025-10-29,2025-12-01,34,"Yes"
"LV100637_1",100637,"Sick Leave",2025-12-19,2025-12-19,1,"Yes"
"LV105875_1",105875,"Vacation",2025-08-13,2025-08-21,9,"Yes"
"LV105260_1",105260,"Bereavement",2025-02-14,2025-02-17,4,"Yes"
"LV105687_1",105687,"Vacation",2024-05-08,2024-05-17,10,"Yes"
"LV105687_2",105687,"Vacation",2024-08-06,2024-08-12,7,"Yes"
"LV103949_1",103949,"Vacation",2025-01-05,2025-01-08,4,"Yes"
"LV104317_1",104317,"Vacation",2024-11-18,2024-11-25,8,"Yes"
"LV109131_1",109131,"Sick Leave",2025-12-20,2025-12-23,4,"Yes"
"LV105442_1",105442,"Vacation",2025-04-02,2025-04-04,3,"Yes"
"LV100938_1",100938,"Vacation",2025-09-30,2025-10-06,7,"Yes"
"LV103189_1",103189,"Vacation",2025-11-24,2025-11-26,3,"Yes"
"LV105628_1",105628,"Vacation",2025-04-16,2025-04-25,10,"Yes"
"LV101225_1",101225,"Vacation",2025-07-04,2025-07-13,10,"Yes"
"LV101225_2",101225,"Vacation",2026-02-04,2026-02-10,7,"Yes"
"LV109818_1",109818,"Vacation",2025-11-24,2025-11-30,7,"Yes"
"LV102341_1",102341,"Vacation",2025-12-25,2025-12-26,2,"Yes"
"LV102424_1",102424,"Medical Leave",2025-07-25,2025-08-13,20,"Yes"
"LV100274_1",100274,"Sick Leave",2025-10-31,2025-10-31,1,"Yes"
"LV108928_1",108928,"Vacation",2026-02-14,2026-02-21,8,"Yes"
"LV101659_1",101659,"Vacation",2025-12-08,2025-12-16,9,"Yes"
"LV102303_1",102303,"Vacation",2026-02-07,2026-02-11,5,"Yes"
"LV100156_1",100156,"Sick Leave",2023-07-31,2023-08-02,3,"Yes"
"LV102691_1",102691,"Sick Leave",2025-06-05,2025-06-08,4,"Yes"
"LV102582_1",102582,"Sick Leave",2021-05-09,2021-05-10,2,"Yes"
"LV105117_1",105117,"Medical Leave",2024-12-27,2025-01-27,32,"No"
"LV109518_1",109518,"Bereavement",2020-06-22,2020-06-25,4,"Yes"
"LV109360_1",109360,"Parental Leave",2020-10-04,2020-11-07,35,"No"
"LV108891_1",108891,"Vacation",2016-02-10,2016-02-19,10,"Yes"
"LV105907_1",105907,"Sick Leave",2019-06-20,2019-06-24,5,"Yes"
"LV100175_1",100175,"Sick Leave",2024-10-21,2024-10-25,5,"Yes"
"LV109143_1",109143,"Sick Leave",2022-06-09,2022-06-13,5,"Yes"
"LV103746_1",103746,"Vacation",2025-02-16,2025-02-21,6,"Yes"
"LV101922_1",101922,"Vacation",2023-12-09,2023-12-18,10,"Yes"
"LV102910_1",102910,"Sick Leave",2018-03-15,2018-03-18,4,"Yes"
"LV104345_1",104345,"Vacation",2023-02-11,2023-02-12,2,"Yes"
"LV103963_1",103963,"Sick Leave",2020-12-05,2020-12-05,1,"Yes"
"LV107710_1",107710,"Vacation",2023-07-09,2023-07-12,4,"Yes"
"LV106507_1",106507,"Vacation",2023-07-30,2023-07-31,2,"Yes"
"LV107017_1",107017,"Sick Leave",2019-12-04,2019-12-08,5,"Yes"
"LV109034_1",109034,"Vacation",2023-12-14,2023-12-23,10,"Yes"
"LV109034_2",109034,"Sick Leave",2025-09-03,2025-09-04,2,"Yes"
"LV109121_1",109121,"Sick Leave",2020-12-22,2020-12-23,2,"Yes"
"LV103357_1",103357,"Medical Leave",2023-03-18,2023-04-14,28,"Yes"
"LV103357_2",103357,"Medical Leave",2026-01-28,2026-02-21,25,"Yes"
"LV109453_1",109453,"Vacation",2022-02-10,2022-02-17,8,"Yes"
"LV106045_1",106045,"Vacation",2021-10-05,2021-10-08,4,"Yes"
"LV106504_1",106504,"Sick Leave",2019-01-03,2019-01-06,4,"Yes"
"LV104387_1",104387,"Medical Leave",2020-10-07,2020-11-11,36,"No"
"LV101260_1",101260,"Medical Leave",2020-08-10,2020-09-05,27,"No"
"LV109530_1",109530,"Sick Leave",2020-11-18,2020-11-19,2,"Yes"
"LV107358_1",107358,"Jury Duty",2023-03-26,2023-03-29,4,"Yes"
"LV100326_1",100326,"Vacation",2025-02-13,2025-02-18,6,"Yes"
"LV106692_1",106692,"Vacation",2022-05-06,2022-05-10,5,"Yes"
"LV104595_1",104595,"Vacation",2023-11-12,2023-11-19,8,"Yes"
